班期日期,班期开始时间,班期结束时间,人员编号,人员姓名,车辆（车牌号）,车辆类型,任务ID,任务名称,任务日期,任务开始时间,任务结束时间,到达航班ID,出发航班ID,到达航班号,出发航班号,航站楼,区域,机位,其他位置,双机航班号,是否加班
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","operation_37800_31","操作间任务","","2020-01-01 10:30:00","2020-01-01 11:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","14","国内厅内11:30-12:30","","2020-01-01 11:30:00","2020-01-01 12:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","operation_45000_31","操作间任务","","2020-01-01 12:30:00","2020-01-01 13:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","16","国内厅内13:30-14:30","","2020-01-01 13:30:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","9","国际厅内晚班","","2020-01-01 14:00:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","18","国内厅内15:30-16:30","","2020-01-01 15:30:00","2020-01-01 16:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","operation_59400_31","操作间任务","","2020-01-01 16:30:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","20","国内厅内17:30-18:30","","2020-01-01 17:30:00","2020-01-01 18:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","operation_66600_31","操作间任务","","2020-01-01 18:30:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","22","国内厅内19:30-20:30","","2020-01-01 19:30:00","2020-01-01 20:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main3","主班3","","","operation_73800_31","操作间任务","","2020-01-01 20:30:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","operation_19800_31","操作间任务","","2020-01-01 05:30:00","2020-01-01 08:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","4","国内前台协助2","","2020-01-01 06:30:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","3","国内前台协助","","2020-01-01 07:00:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","11","国内厅内08:30-09:30","","2020-01-01 08:30:00","2020-01-01 09:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","13","国内厅内10:30-11:30","","2020-01-01 10:30:00","2020-01-01 11:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","14","国内厅内11:30-12:30","","2020-01-01 11:30:00","2020-01-01 12:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","15","国内厅内12:30-13:30","","2020-01-01 12:30:00","2020-01-01 13:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","operation_48600_31","操作间任务","","2020-01-01 13:30:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","17","国内厅内14:30-15:30","","2020-01-01 14:30:00","2020-01-01 15:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","operation_55800_31","操作间任务","","2020-01-01 15:30:00","2020-01-01 16:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","19","国内厅内16:30-17:30","","2020-01-01 16:30:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","20","国内厅内17:30-18:30","","2020-01-01 17:30:00","2020-01-01 18:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","operation_63000_31","操作间任务","","2020-01-01 17:30:00","2020-01-01 18:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","21","国内厅内18:30-19:30","","2020-01-01 18:30:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","operation_70200_31","操作间任务","","2020-01-01 19:30:00","2020-01-01 20:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main4","主班4","","","23","国内厅内20:30-航后","","2020-01-01 20:30:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 08:30:00","main5","主班5","","","5","国内前台早班","","2020-01-01 05:30:00","2020-01-01 08:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 08:30:00","main5","主班5","","","2","国内前台","","2020-01-01 08:30:00","","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","operation_19800_31","操作间任务","","2020-01-01 05:30:00","2020-01-01 08:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","11","国内厅内08:30-09:30","","2020-01-01 08:30:00","2020-01-01 09:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","operation_34200_31","操作间任务","","2020-01-01 09:30:00","2020-01-01 10:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","13","国内厅内10:30-11:30","","2020-01-01 10:30:00","2020-01-01 11:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","operation_41400_31","操作间任务","","2020-01-01 11:30:00","2020-01-01 12:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","15","国内厅内12:30-13:30","","2020-01-01 12:30:00","2020-01-01 13:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","operation_48600_31","操作间任务","","2020-01-01 13:30:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","17","国内厅内14:30-15:30","","2020-01-01 14:30:00","2020-01-01 15:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","operation_55800_31","操作间任务","","2020-01-01 15:30:00","2020-01-01 16:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","19","国内厅内16:30-17:30","","2020-01-01 16:30:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","operation_63000_31","操作间任务","","2020-01-01 17:30:00","2020-01-01 18:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","21","国内厅内18:30-19:30","","2020-01-01 18:30:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","operation_70200_31","操作间任务","","2020-01-01 19:30:00","2020-01-01 20:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 20:30:00","main6","主班6","","","23","国内厅内20:30-航后","","2020-01-01 20:30:00","","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main7","主班7","","","24","外场（国内出港-少人）","","2020-01-01 09:00:00","2020-01-01 10:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main7","主班7","","","26","外场（国内进港-少人）","","2020-01-01 10:45:00","2020-01-01 11:20:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main7","主班7","","","28","外场（国际出港-少人）","","2020-01-01 13:00:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main7","主班7","","","31","外场（国际出港-少人）","","2020-01-01 15:00:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main7","主班7","","","30","外场（国际出港-少人）","","2020-01-01 18:00:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main7","主班7","","","32","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main8","主班8","","","24","外场（国内出港-少人）","","2020-01-01 09:00:00","2020-01-01 10:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main8","主班8","","","26","外场（国内进港-少人）","","2020-01-01 10:45:00","2020-01-01 11:20:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main8","主班8","","","28","外场（国际出港-少人）","","2020-01-01 13:00:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main8","主班8","","","31","外场（国际出港-少人）","","2020-01-01 15:00:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main8","主班8","","","30","外场（国际出港-少人）","","2020-01-01 18:00:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 09:00:00","2020-01-01 22:00:00","main8","主班8","","","32","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
"","2020-01-01 06:00:00","2020-01-01 15:40:00","sub1","副班1","","","6","国际前台早班","","2020-01-01 06:00:00","2020-01-01 14:00:00","","","","","","","","","","否"
"","2020-01-01 06:00:00","2020-01-01 15:40:00","sub1","副班1","","","39","外场（国际进港-多人）","","2020-01-01 15:00:00","2020-01-01 15:40:00","","","","","","","","","","否"
"","2020-01-01 06:00:00","2020-01-01 14:00:00","sub2","副班2","","","8","国际厅内早班","","2020-01-01 06:00:00","2020-01-01 14:00:00","","","","","","","","","","否"
"","2020-01-01 06:00:00","2020-01-01 14:00:00","sub2","副班2","","","7","国际前台晚班","","2020-01-01 14:00:00","","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub3","副班3","","","25","外场（国内出港-多人）","","2020-01-01 09:30:00","2020-01-01 11:00:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub3","副班3","","","27","外场（国内进港-多人）","","2020-01-01 11:00:00","2020-01-01 11:40:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub3","副班3","","","34","外场（国际出港-少人）","","2020-01-01 13:25:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub3","副班3","","","38","外场（国际进港-少人）","","2020-01-01 14:45:00","2020-01-01 15:20:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub3","副班3","","","32","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub4","副班4","","","25","外场（国内出港-多人）","","2020-01-01 09:30:00","2020-01-01 11:00:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub4","副班4","","","27","外场（国内进港-多人）","","2020-01-01 11:00:00","2020-01-01 11:40:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub4","副班4","","","33","外场（国际出港-少人）","","2020-01-01 13:00:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub4","副班4","","","36","外场（国际出港-少人）","","2020-01-01 15:00:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub4","副班4","","","37","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub5","副班5","","","25","外场（国内出港-多人）","","2020-01-01 09:30:00","2020-01-01 11:00:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub5","副班5","","","27","外场（国内进港-多人）","","2020-01-01 11:00:00","2020-01-01 11:40:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub5","副班5","","","33","外场（国际出港-少人）","","2020-01-01 13:00:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub5","副班5","","","36","外场（国际出港-少人）","","2020-01-01 15:00:00","2020-01-01 17:30:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub5","副班5","","","37","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 22:00:00","sub6","副班6","","","5","国内前台早班","","2020-01-01 05:30:00","2020-01-01 08:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 22:00:00","sub6","副班6","","","34","外场（国际出港-少人）","","2020-01-01 13:25:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 22:00:00","sub6","副班6","","","39","外场（国际进港-多人）","","2020-01-01 15:00:00","2020-01-01 15:40:00","","","","","","","","","","否"
"","2020-01-01 05:30:00","2020-01-01 22:00:00","sub6","副班6","","","37","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub7","副班7","","","25","外场（国内出港-多人）","","2020-01-01 09:30:00","2020-01-01 11:00:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub7","副班7","","","29","外场（国际出港-少人）","","2020-01-01 13:25:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub7","副班7","","","39","外场（国际进港-多人）","","2020-01-01 15:00:00","2020-01-01 15:40:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub7","副班7","","","35","外场（国际出港-少人）","","2020-01-01 18:00:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 09:30:00","2020-01-01 22:00:00","sub7","副班7","","","37","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
"","2020-01-01 11:00:00","2020-01-01 22:00:00","sub8","副班8","","","27","外场（国内进港-多人）","","2020-01-01 11:00:00","2020-01-01 11:40:00","","","","","","","","","","否"
"","2020-01-01 11:00:00","2020-01-01 22:00:00","sub8","副班8","","","29","外场（国际出港-少人）","","2020-01-01 13:25:00","2020-01-01 14:30:00","","","","","","","","","","否"
"","2020-01-01 11:00:00","2020-01-01 22:00:00","sub8","副班8","","","38","外场（国际进港-少人）","","2020-01-01 14:45:00","2020-01-01 15:20:00","","","","","","","","","","否"
"","2020-01-01 11:00:00","2020-01-01 22:00:00","sub8","副班8","","","35","外场（国际出港-少人）","","2020-01-01 18:00:00","2020-01-01 19:30:00","","","","","","","","","","否"
"","2020-01-01 11:00:00","2020-01-01 22:00:00","sub8","副班8","","","32","外场（国际出港-多人）","","2020-01-01 20:30:00","2020-01-01 22:00:00","","","","","","","","","","否"
